"Codigo Articulo","Descripción","Des.Marca","Familia","Sub-Familia","Unidad de stock"
"046201","TAPA PLANNER EJECUTIVO A4","S/M","008","013","UNI"
"046202","POLOS PARA ALMACEN - UTILEX SURQUILLO","S/M","888","888","UNI"
"046203","POLOS PARA DISTRIBUCION - UTILEX SURQUILLO","S/M","888","888","UNI"
"046204","POLO ROJO CUELLO REDONDO AZUL MARINO","S/M","888","888","UNI"
"046205","POLO PIQUET AZUL MARINO CUELLO REDONDO AZU","S/M","888","888","UNI"
"046206","BOMBILLA DE SECADO DE CABEZAL","S/M","009","102","UNI"
"046207","PISETA PARA CODIFICADORA","S/M","009","117","UNI"
"046208","MANTILLA BARNIZ UV BARILL. 785X1040X1.95MM","S/M","008","200","UNI"
"046209","FONDO CUAD.ANILLADO QUALITY A4","S/M","008","009","UNI"
"046210","FONDO CUAD.ANILLADO QUALITY A5","S/M","008","009","UNI"
"046211","FONDO CUAD.ANILLADO MINI QUALITY","S/M","008","009","UNI"
"046212","TAPA CUAD.ANILLADO MINI QUALITY","S/M","008","009","UNI"
"046213","TAPA CUAD.ANILLADO QUALITY A5","S/M","008","009","UNI"
"046214","TAPA CUAD.ANILLADO QUALITY A4","S/M","008","009","UNI"
"046215","DISCO DURO DESKTOP IOMEGA 2TB","S/M","000","100","UNI"
"046216","RETIRA CARATULA DEPORTE'12 45X85","STANDFORD","008","002","CTO"
"046217","ACEITE MULTIPLE 3 EN 1 (90ML.)","S/M","008","201","UNI"
"046218","MARTILLO DE 300 GR.","S/M","008","201","UNI"
"046219","TEROKAL REKORD 56","S/M","008","201","GLN"
"046220","GUANTE DE LANA","S/M","008","201","JGO"
"046221","SILICONA EN SPRAY","S/M","008","201","UNI"
"046222","HOJAS P/CC.EE SIMPSONS","STANDFORD","009","003","CTO"
"046223","FACTURA PARURO ORIGINAL+2 COPIAS","GRAFIPAPEL","888","888","MLL"
"046224","CARTERA PRINCESAS DFBNAV11003","IASA","001","125","UNI"
"046225","CARTERA PRINCESAS DFBNAV11012","IASA","001","125","UNI"
